Aruba,ABW,102911,134.873823012117
Andorra,AND,79218,80.7026180918478
Afganistán,AFG,30551674,70.6613588505821
Angola,AGO,21471618,61.8732971124952
Albania,ALB,2897366,116.157208130034
Emiratos Árabes Unidos,ARE,9346129,171.873799302364
Argentina,ARG,41446246,162.527421663231
Armenia,ARM,2976566,112.420655211408
Samoa Americana,ASM,55165,0
Antigua y Barbuda,ATG,89985,127.085625382008
Australia,AUS,23129300,106.843497367233
Austria,AUT,8479823,156.230411605688
Azerbaiyán,AZE,9416801,107.613407242001
Burundi,BDI,10162532,24.9625880636833
Bélgica,BEL,11182817,110.903179942935
Benin,BEN,10323474,93.2578219308733
Burkina Faso,BFA,16934839,66.3772829490732
Bangladesh,BGD,156594962,74.4296460827392
Bulgaria,BGR,7265115,145.187688730203
Bahrein,BHR,1332171,165.90888106707
Bahamas,BHS,377374,76.0518742679676
Bosnia y Herzegovina,BIH,3829307,91.0953078455188
Belarús,BLR,9466000,118.786176033844
Belice,BLZ,331900,52.610726122326
Bermudas,BMU,65024,144.319799207236
Bolivia,BOL,10671200,97.6994527325887
Brasil,BRA,200361925,135.305048102328
Barbados,BRB,284644,108.10275291241
Brunei Darussalam,BRN,417784,112.214445742297
Bhután,BTN,753947,72.1983110218623
Botswana,BWA,2021144,160.641052789905
República Centroafricana,CAF,4616417,29.4665754848403
Canadá,CAN,35154279,80.6100807396936
Suiza,CHE,8087875,136.777239638403
Islas del Canal,CHI,162018,0
Chile,CHL,17619708,134.289052917336
China,CHN,1357380000,88.7083346182169
Côte d'Ivoire,CIV,20316086,95.4460519609929
Camerún,CMR,22253959,70.3904685004587
Congo República del,COG,4447632,104.769504311508
Colombia,COL,48321405,104.084543899334
Comoras,COM,734917,47.2842511467281
Cabo Verde,CPV,498897,100.112448060421
Costa Rica,CRI,4872166,145.971647928252
Estados pequeos del Caribe,CSS,7002414,109.42888479613
Cuba,CUB,11265629,17.7149274132851
Curacao,CUW,153817,128.18216175359
Islas Caimán,CYM,58435,167.769316334389
Chipre,CYP,1141166,96.359425359676
República Checa,CZE,10514272,127.730782754233
Alemania,DEU,80651873,120.921165091394
Djibouti,DJI,872932,27.9658667570899
Dominica,DMA,72003,129.959862783495
Dinamarca,DNK,5614932,127.117671596997
República Dominicana,DOM,10403761,88.4335001544153
Argelia,DZA,39208194,100.787720546374
Ecuador,ECU,15737878,111.46200269185
Egipto República Árabe de,EGY,82056378,121.507893024476
Eritrea,ERI,6333135,5.60297546159998
España,ESP,46617825,106.886714573879
Estonia,EST,1317997,159.660703312718
Etiopía,ETH,94100756,27.2546853927507
Finlandia,FIN,5438972,171.571062024874
Fiji,FJI,881065,105.600154358645
Francia,FRA,65939866,98.4954724808714
Islas Feroe,FRO,49469,120.681639006246
Micronesia (Estados Federados de),FSM,103549,30.3170479676289
Gabón,GAB,1671711,214.750037536392
Reino Unido,GBR,64106779,124.609807057798
Georgia,GEO,4487200,115.025104269972
Ghana,GHA,25904598,108.19114815061
Guinea,GIN,11745189,63.3150390342803
Gambia,GMB,1849285,99.9766936951308
Guinea-Bissau,GNB,1704255,74.0910251106789
Guinea Ecuatorial,GNQ,757014,67.4733888673129
Grecia,GRC,11027549,116.820647753997
Granada,GRD,105897,125.593737310783
Groenlandia,GRL,56483,105.989085229965
